,name,blue_WR,red_WR,more_50_WR,champ_role,number
0,Aatrox,0.5135,0.4956,0.5558,3,266
1,Ahri,0.5225,0.5285,0.566,2,103
2,Akali,0.5011,0.4848,0.5234,1,84
3,Alistar,0.5337,0.5077,0.5297,6,12
4,Amumu,0.5225,0.5069,0.5927,6,32
5,Anivia,0.4973,0.4881,0.5843,2,34
6,Annie,0.5041,0.5466,0.5937,2,1
7,Aphelios,0.4525,0.4598,0.4941,7,523
8,Ashe,0.5263,0.5247,0.5367,7,22
9,Aurelion Sol,0.5013,0.5396,0.5955,2,136
10,Azir,0.4731,0.5076,0.5133,2,268
11,Bard,0.5206,0.521,0.5516,4,432
12,Blitzcrank,0.5062,0.4987,0.5523,6,53
13,Brand,0.5153,0.5109,0.5752,2,63
14,Braum,0.4983,0.5201,0.503,4,201
15,Caitlyn,0.4813,0.4788,0.5206,7,51
16,Camille,0.5156,0.5138,0.549,3,164
17,Cassiopeia,0.5283,0.5172,0.5533,2,69
18,Cho'Gath,0.4937,0.5,0.6047,6,31
19,Corki,0.4493,0.4753,0.504,7,42
20,Darius,0.4893,0.487,0.5273,3,122
21,Diana,0.5119,0.5286,0.5473,3,131
22,Dr. Mundo,0.5161,0.4624,0.5909,3,36
23,Draven,0.4958,0.4851,0.5372,7,119
24,Ekko,0.5184,0.5088,0.5681,1,245
25,Elise,0.5296,0.5274,0.5618,2,60
26,Evelynn,0.4923,0.5241,0.5635,1,28
27,Ezreal,0.4747,0.4735,0.5059,7,81
28,Fiddlesticks,0.5277,0.5161,0.5954,2,9
29,Fiora,0.4969,0.4985,0.5635,3,114
30,Fizz,0.5466,0.5453,0.5991,1,105
31,Galio,0.5281,0.5364,0.5581,6,3
32,Gangplank,0.4462,0.4557,0.4826,3,41
33,Garen,0.484,0.4784,0.5527,3,86
34,Gnar,0.4977,0.4921,0.5491,3,150
35,Gragas,0.4933,0.4435,0.5214,3,79
36,Graves,0.5084,0.5088,0.5421,7,104
37,Hecarim,0.5289,0.5395,0.5967,3,120
38,Heimerdinger,0.5265,0.5266,0.5409,2,74
39,Illaoi,0.4892,0.4694,0.512,3,420
40,Irelia,0.458,0.4684,0.5256,3,39
41,Ivern,0.5037,0.4551,0.5211,4,427
42,Janna,0.5264,0.5056,0.5676,4,40
43,Jarvan IV,0.4917,0.4715,0.5535,6,59
44,Jax,0.519,0.514,0.5703,3,24
45,Jayce,0.4876,0.5002,0.552,3,126
46,Jhin,0.5234,0.5166,0.5489,7,202
47,Jinx,0.5021,0.5021,0.5574,7,222
48,Kai'Sa,0.4882,0.5026,0.5171,7,145
49,Kalista,0.461,0.4739,0.4843,7,429
50,Karma,0.4585,0.4748,0.5162,2,43
51,Karthus,0.4882,0.5057,0.5272,2,30
52,Kassadin,0.4663,0.4672,0.5309,1,38
53,Katarina,0.5124,0.5039,0.5255,1,55
54,Kayle,0.5012,0.5115,0.6041,3,10
55,Kayn,0.5379,0.5248,0.566,3,141
56,Kennen,0.4838,0.5034,0.5733,2,85
57,Kha'Zix,0.5365,0.5438,0.6142,,121
58,Kindred,0.4746,0.4707,0.5201,7,203
59,Kled,0.53,0.5527,0.5719,3,240
60,Kog'Maw,0.5104,0.5264,0.6162,7,96
61,LeBlanc,0.5042,0.505,0.5478,1,7
62,Lee Sin,0.464,0.4638,0.4828,3,64
63,Leona,0.5295,0.5261,0.5448,6,89
64,Lillia,0.4883,0.4814,0.5459,3,876
65,Lissandra,0.5212,0.5068,0.5861,2,127
66,Lucian,0.4737,0.4775,0.5104,7,236
67,Lulu,0.4998,0.5044,0.5402,4,117
68,Lux,0.4928,0.4822,0.5282,2,99
69,Malphite,0.538,0.5445,0.571,6,54
70,Malzahar,0.5328,0.5307,0.5714,2,90
71,Maokai,0.5381,0.5411,0.5766,6,57
72,Master Yi,0.4937,0.5097,0.5958,1,11
73,Miss Fortune,0.5235,0.4981,0.5486,7,21
74,Mordekaiser,0.5119,0.4875,0.5283,3,82
75,Morgana,0.4928,0.5067,0.5344,2,25
76,Nami,0.4843,0.4885,0.5081,4,267
77,Nasus,0.5004,0.4811,0.5714,3,75
78,Nautilus,0.5106,0.5207,0.5018,6,111
79,Neeko,0.5134,0.5473,0.5193,2,518
80,Nidalee,0.4706,0.4845,0.5152,1,76
81,Nocturne,0.4962,0.5063,0.4913,1,56
82,Nunu & Willump,0.5429,0.5139,0.6246,6,20
83,Olaf,0.5014,0.5071,0.5746,3,2
84,Orianna,0.4926,0.5092,0.5573,2,61
85,Ornn,0.5045,0.5038,0.5856,6,516
86,Pantheon,0.5072,0.5103,0.5429,3,80
87,Poppy,0.5292,0.5269,0.5844,6,78
88,Pyke,0.4969,0.4976,0.5334,4,555
89,Qiyana,0.4841,0.4877,0.5168,1,246
90,Quinn,0.5311,0.5045,0.608,7,133
91,Rakan,0.5246,0.5228,0.5456,4,497
92,Rammus,0.5279,0.5214,0.6278,6,33
93,Rek'Sai,0.5418,0.5225,0.5969,3,421
94,Renekton,0.5056,0.4996,0.5658,3,58
95,Rengar,0.5123,0.4653,0.5298,1,107
96,Riven,0.4904,0.498,0.5152,3,92
97,Rumble,0.5284,0.4679,0.5236,3,68
98,Ryze,0.4576,0.4897,0.5456,2,13
99,Samira,0.5242,0.5374,0.5714,7,360
100,Sejuani,0.5349,0.5274,0.5209,6,113
101,Senna,0.4786,0.4838,0.5223,7,235
102,Seraphine,0.4699,0.4838,0.5389,2,147
103,Sett,0.4819,0.4682,0.5411,3,875
104,Shaco,0.5156,0.4907,0.5349,1,35
105,Shen,0.5277,0.5345,0.5812,6,98
106,Shyvana,0.4731,0.4938,0.5487,3,102
107,Singed,0.4955,0.4945,0.5668,6,27
108,Sion,0.5286,0.469,0.5068,6,14
109,Sivir,0.4574,0.5097,0.4932,7,15
110,Skarner,0.5434,0.5395,0.6391,3,72
111,Sona,0.5037,0.5187,0.5495,4,37
112,Soraka,0.4895,0.496,0.5341,4,16
113,Swain,0.5067,0.5063,0.5795,2,50
114,Sylas,0.481,0.4771,0.524,2,517
115,Syndra,0.4944,0.476,0.5026,2,134
116,Tahm Kench,0.4728,0.4639,0.558,4,223
117,Taliyah,0.4788,0.4855,0.5556,2,163
118,Talon,0.4833,0.51,0.5601,1,91
119,Taric,0.5223,0.5404,0.6062,4,44
120,Teemo,0.5,0.5097,0.5495,7,17
121,Thresh,0.5105,0.5027,0.508,4,412
122,Tristana,0.4983,0.5252,0.5506,7,18
123,Trundle,0.4572,0.4717,0.5432,3,48
124,Tryndamere,0.431,0.4379,0.501,3,23
125,Twisted Fate,0.5016,0.4565,0.532,2,4
126,Twitch,0.4734,0.4538,0.5342,7,29
127,Udyr,0.5147,0.525,0.5874,3,77
128,Urgot,0.5005,0.4814,0.5653,3,6
129,Varus,0.5147,0.4493,0.4695,7,110
130,Vayne,0.5057,0.4944,0.5632,7,67
131,Veigar,0.4912,0.4775,0.5477,2,45
132,Vel'Koz,0.5218,0.4942,0.5347,2,161
133,Vi,0.5211,0.5616,0.5763,3,254
134,Viktor,0.5331,0.5349,0.6192,2,112
135,Vladimir,0.4703,0.4712,0.5108,2,8
136,Volibear,0.5277,0.5241,0.5654,3,106
137,Warwick,0.5174,0.5011,0.5964,3,19
138,Wukong,0.5316,0.5413,0.5906,3,62
139,Xayah,0.4835,0.4819,0.5431,7,498
140,Xerath,0.5254,0.5143,0.5742,2,101
141,Xin Zhao,0.5024,0.5027,0.5319,3,5
142,Yasuo,0.4932,0.4896,0.5243,3,157
143,Yone,0.4774,0.4671,0.5395,1,777
144,Yorick,0.5144,0.477,0.5625,3,83
145,Yuumi,0.4813,0.4864,0.5085,4,350
146,Zac,0.5258,0.5143,0.5649,6,154
147,Zed,0.5131,0.5022,0.5481,1,238
148,Ziggs,0.4735,0.4829,0.5433,2,115
149,Zilean,0.525,0.543,0.5615,4,26
150,Zoe,0.483,0.4938,0.5588,2,142
151,Zyra,0.5232,0.5061,0.5601,2,143
